,date,symbol,high,low,close
0,2022-08-08 14:11:08,BTCUSDT,23678.8,23439.5,23569.1
1,2022-08-08 14:11:12,BTCUSDT,23678.8,23439.5,23620.0
2,2022-08-08 14:11:12,BTCUSDT,23678.8,23439.5,23620.0
3,2022-08-08 14:11:13,BTCUSDT,23678.8,23439.5,23575.6
4,2022-08-08 14:11:20,BTCUSDT,23678.8,23439.5,23620.0
5,2022-08-08 14:11:20,BTCUSDT,23678.8,23439.5,23588.9
6,2022-08-08 14:11:22,BTCUSDT,23678.8,23439.5,23597.6
7,2022-08-08 14:11:25,BTCUSDT,23678.8,23439.5,23593.2
8,2022-08-08 14:11:25,BTCUSDT,23678.8,23439.5,23610.0
9,2022-08-08 14:11:26,BTCUSDT,23678.8,23439.5,23602.7
10,2022-08-08 14:11:27,BTCUSDT,23678.8,23439.5,23593.2
11,2022-08-08 14:11:28,BTCUSDT,23678.8,23439.5,23620.6
12,2022-08-08 14:11:28,BTCUSDT,23678.8,23439.5,23678.8
13,2022-08-08 14:11:30,BTCUSDT,23678.8,23439.5,23619.4
14,2022-08-08 14:11:32,BTCUSDT,23678.8,23439.5,23624.8
15,2022-08-08 14:11:32,BTCUSDT,23678.8,23439.5,23601.0
16,2022-08-08 14:11:39,BTCUSDT,23678.8,23439.5,23660.0
17,2022-08-08 14:11:42,BTCUSDT,23678.8,23439.5,23662.7
18,2022-08-08 14:11:44,BTCUSDT,23678.8,23439.5,23660.0
19,2022-08-08 14:11:44,BTCUSDT,23678.8,23439.5,23620.0
20,2022-08-08 14:11:48,BTCUSDT,23678.8,23439.5,23573.5
21,2022-08-08 14:11:51,BTCUSDT,23678.8,23439.5,23570.4
22,2022-08-08 14:11:52,BTCUSDT,23678.8,23439.5,23576.8
23,2022-08-08 14:12:10,BTCUSDT,23678.8,23439.5,23586.0
24,2022-08-08 14:12:18,BTCUSDT,23678.8,23439.5,23590.6
25,2022-08-08 14:12:19,BTCUSDT,23678.8,23439.5,23678.8
26,2022-08-08 14:12:20,BTCUSDT,23678.8,23439.5,23620.0
27,2022-08-08 14:12:27,BTCUSDT,23678.8,23439.5,23580.0
28,2022-08-08 14:12:28,BTCUSDT,23678.8,23439.5,23583.1
29,2022-08-08 14:12:28,BTCUSDT,23678.8,23439.5,23568.0
30,2022-08-08 14:12:29,BTCUSDT,23678.8,23439.5,23620.0
31,2022-08-08 14:12:38,BTCUSDT,23678.8,23439.5,23580.0
32,2022-08-08 14:12:40,BTCUSDT,23678.8,23439.5,23620.0
33,2022-08-08 14:12:41,BTCUSDT,23678.8,23439.5,23620.0
34,2022-08-08 14:12:44,BTCUSDT,23678.8,23439.5,23580.0
35,2022-08-08 14:12:46,BTCUSDT,23678.8,23439.5,23578.8
36,2022-08-08 14:12:52,BTCUSDT,23678.8,23439.5,23578.8
37,2022-08-08 14:12:53,BTCUSDT,23678.8,23439.5,23578.8
38,2022-08-08 14:12:56,BTCUSDT,23678.8,23439.5,23620.0
39,2022-08-08 14:12:58,BTCUSDT,23678.8,23439.5,23620.0
40,2022-08-08 14:13:00,BTCUSDT,23678.8,23439.5,23582.1
41,2022-08-08 14:13:02,BTCUSDT,23678.8,23439.5,23584.1
42,2022-08-08 14:13:07,BTCUSDT,23678.8,23439.5,23583.2
43,2022-08-08 14:13:13,BTCUSDT,23678.8,23439.5,23660.0
44,2022-08-08 14:13:14,BTCUSDT,23678.8,23439.5,23678.8
45,2022-08-08 14:13:16,BTCUSDT,23678.8,23439.5,23620.0
46,2022-08-08 14:13:18,BTCUSDT,23678.8,23439.5,23568.7
47,2022-08-08 14:13:21,BTCUSDT,23678.8,23439.5,23578.5
48,2022-08-08 14:13:23,BTCUSDT,23678.8,23439.5,23579.7
49,2022-08-08 14:13:24,BTCUSDT,23678.8,23439.5,23579.7
50,2022-08-08 14:13:26,BTCUSDT,23678.8,23439.5,23578.5
51,2022-08-08 14:13:27,BTCUSDT,23678.8,23439.5,23579.7
52,2022-08-08 14:13:32,BTCUSDT,23678.8,23439.5,23579.7
53,2022-08-08 14:13:48,BTCUSDT,23678.8,23439.5,23619.9
54,2022-08-08 14:13:53,BTCUSDT,23678.8,23439.5,23564.8
55,2022-08-08 14:13:54,BTCUSDT,23678.8,23439.5,23564.8
56,2022-08-08 14:13:56,BTCUSDT,23678.8,23439.5,23564.8
